id	target	kind	locator	source_page	content_type	expected_size_bytes	sha256	description
dji-ronin4d-4k-prores4444-25fps	Tests/Fixtures/videometa/dji_ronin4d_4k_prores4444_25fps.mov	direct	https://terra-1-g.djicdn.com/851d20f7b9f64838a34cd02351370894/330%20sample%20footage2/A001C0004_210816_0000_4K_ProRes4444_25FPS.mov	https://www.dji.com/ronin-4d/samples	video/quicktime	1192322194	9dc59b1804f58d7180d44ae233ae1cefb8fb27cdce3cab59c47bf1c2566028c4	DJI Ronin 4D sample footage
dji-inspire3-car-4k120-rec709	Tests/Fixtures/videometa/dji_inspire3_car_4k120_rec709.mov	direct	https://terra-1-g.djicdn.com/851d20f7b9f64838a34cd02351370894/630sample/Car012-A009C0025_230226_0051.mov	https://www.dji.com/inspire-3/samples	video/quicktime	561366276	72ae2bbd26be32ef146fd0aeda1455d353ee61ae62e3a0bb90e983d95682c6bd	DJI Inspire 3 sample footage
gopro-hero12-share	Tests/Fixtures/videometa/gopro_action.mp4	gopro-share	https://gopro.com/v/8GodrO3G8bNK4	https://gopro.com/v/8GodrO3G8bNK4	binary/octet-stream	69804328	aa179ba6ae7de60a3d850cc5d0846280e56b460e872353ad9052f2efce3b83c6	GoPro HERO12 Black shared clip
